50379da50614f3257a2e6cab,transactions,Based on over 500 transactions
50379da50614f3257a2e6cab,url,http://www.bundle.com/merchant/detail/la-china-restaurant-san-diego-ca-19612961/
50379da50614f3257a2e6cab,telephone,(858) 576-9898
50379da50614f3257a2e6cab,Couples,55%
50379da50614f3257a2e6cab,Foodies,5%
50379da50614f3257a2e6cab,Fashionistas,9%
50379da50614f3257a2e6cab,Single Ladies,7%
50379da50614f3257a2e6cab,Locals,48%
50379da50614f3257a2e6cab,MONDAY,76%
50379da50614f3257a2e6cab,TUESDAY,66%
50379da50614f3257a2e6cab,FRIDAY,91%
50379da50614f3257a2e6cab,WEDNESDAY,75%
50379da50614f3257a2e6cab,THURSDAY,87%
50379da50614f3257a2e6cab,SUNDAY,100%
50379da50614f3257a2e6cab,SATURDAY,84%
50379da50614f3257a2e6cab,epochstamp,1345822117
50379da50614f3257a2e6cab,popularity,74
50379da50614f3257a2e6cab,loyalty,87
50379da50614f3257a2e6cab,_id,50379da50614f3257a2e6cab
50379da50614f3257a2e6cab,address,"5910 Santo Rd, San Diego, CA 92124"
50379dcb0614f3257a2e6cd8,transactions,Based on over 500 transactions
50379dcb0614f3257a2e6cd8,url,http://www.bundle.com/merchant/detail/red-mei-alexandria-va-1650883/
50379dcb0614f3257a2e6cd8,telephone,(703) 837-0094
50379dcb0614f3257a2e6cd8,Wed,11:00 - 22:00
50379dcb0614f3257a2e6cd8,Sun,12:00 - 21:00
50379dcb0614f3257a2e6cd8,Fri,11:00 - 22:00
50379dcb0614f3257a2e6cd8,Tue,11:00 - 22:00
50379dcb0614f3257a2e6cd8,Mon,11:00 - 22:00
50379dcb0614f3257a2e6cd8,Thu,11:00 - 22:00
50379dcb0614f3257a2e6cd8,Sat,11:00 - 22:00
50379dcb0614f3257a2e6cd8,Singles,54%
50379dcb0614f3257a2e6cd8,Fashionistas,7%
50379dcb0614f3257a2e6cd8,Single Ladies,16%
50379dcb0614f3257a2e6cd8,Locals,76%
50379dcb0614f3257a2e6cd8,18-25 Year Olds,9%
50379dcb0614f3257a2e6cd8,MONDAY,88%
50379dcb0614f3257a2e6cd8,TUESDAY,89%
50379dcb0614f3257a2e6cd8,FRIDAY,100%
50379dcb0614f3257a2e6cd8,WEDNESDAY,100%
50379dcb0614f3257a2e6cd8,THURSDAY,94%
